رقم الفاتورة,تاريخ ووقت البيع,اسم المنتج,الكمية,سعر القطعة,تكلفة المنتج,المحافظة
ORD-1211,2026-08-30 18:49:00,جاكيت جلد رجالي,2,1500,600,المنصورة
ORD-1470,2026-08-25 22:08:00,هودي شتوي رمادي,2,700,300,الإسكندرية
ORD-1463,2026-08-07 13:43:00,تيشرت قطن أبيض,3,350,150,المنصورة
ORD-1305,2026-08-07 11:13:00,جاكيت جلد رجالي,1,1500,600,الجيزة
ORD-1407,2026-08-04 20:19:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1036,2026-08-01 19:20:00,هودي شتوي رمادي,3,700,300,الإسكندرية
ORD-1253,2026-08-17 09:18:00,حذاء رياضي مريح,3,950,400,المنيا
ORD-1044,2026-08-17 20:28:00,جاكيت جلد رجالي,1,1500,600,المنيا
ORD-1472,2026-08-16 09:36:00,هودي شتوي رمادي,3,700,300,طنطا
ORD-1420,2026-08-17 13:52:00,حذاء رياضي مريح,2,950,400,الجيزة
ORD-1492,2026-08-22 23:23:00,سويت شيرت زيتي,3,500,220,المنصورة
ORD-1398,2026-08-05 15:20:00,حذاء رياضي مريح,3,950,400,الجيزة
ORD-1381,2026-08-10 09:23:00,حذاء رياضي مريح,2,950,400,الجيزة
ORD-1023,2026-08-21 21:32:00,تيشرت قطن أبيض,3,350,150,المنصورة
ORD-1492,2026-08-09 16:13:00,بنطلون جينز أسود,3,600,250,الجيزة
ORD-1050,2026-08-04 13:23:00,بنطلون جينز أسود,3,600,250,الجيزة
ORD-1362,2026-08-11 13:16:00,قميص كاجوال كحلي,3,450,200,المنصورة
ORD-1040,2026-08-14 12:49:00,تيشرت قطن أبيض,3,350,150,المنيا
ORD-1169,2026-08-16 18:18:00,تيشرت قطن أبيض,3,350,150,طنطا
ORD-1121,2026-08-15 14:14:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1152,2026-08-31 12:16:00,جاكيت جلد رجالي,2,1500,600,الجيزة
ORD-1494,2026-08-29 15:04:00,حذاء رياضي مريح,2,950,400,طنطا
ORD-1124,2026-08-29 11:07:00,سويت شيرت زيتي,1,500,220,المنصورة
ORD-1359,2026-08-01 23:36:00,سويت شيرت زيتي,2,500,220,الجيزة
ORD-1318,2026-08-10 18:33:00,تيشرت قطن أبيض,2,350,150,المنصورة
ORD-1272,2026-08-30 22:38:00,بنطلون جينز أسود,1,600,250,القاهرة
ORD-1098,2026-08-23 22:28:00,قميص كاجوال كحلي,3,450,200,الجيزة
ORD-1460,2026-08-18 19:23:00,تيشرت قطن أبيض,2,350,150,القاهرة
ORD-1474,2026-08-25 15:33:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1125,2026-08-15 20:35:00,بنطلون جينز أسود,1,600,250,طنطا
ORD-1369,2026-08-14 12:55:00,فستان صيفي مشجر,1,800,350,طنطا
ORD-1399,2026-08-25 23:10:00,قميص كاجوال كحلي,3,450,200,المنيا
ORD-1217,2026-08-25 20:53:00,جاكيت جلد رجالي,2,1500,600,الإسكندرية
ORD-1306,2026-08-07 22:13:00,هودي شتوي رمادي,2,700,300,المنصورة
ORD-1052,2026-08-19 18:51:00,جاكيت جلد رجالي,3,1500,600,الجيزة
ORD-1060,2026-08-29 12:28:00,حذاء رياضي مريح,3,950,400,الإسكندرية
ORD-1132,2026-08-14 16:24:00,هودي شتوي رمادي,3,700,300,الجيزة
ORD-1233,2026-08-03 19:00:00,بنطلون جينز أسود,3,600,250,المنصورة
ORD-1280,2026-08-10 23:27:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1269,2026-08-27 22:15:00,جاكيت جلد رجالي,1,1500,600,الجيزة
ORD-1171,2026-08-03 14:10:00,فستان صيفي مشجر,3,800,350,طنطا
ORD-1141,2026-08-26 18:23:00,تيشرت قطن أبيض,3,350,150,الإسكندرية
ORD-1090,2026-08-02 15:43:00,حذاء رياضي مريح,1,950,400,الإسكندرية
ORD-1103,2026-08-24 15:59:00,سويت شيرت زيتي,1,500,220,الجيزة
ORD-1065,2026-08-22 22:49:00,سويت شيرت زيتي,3,500,220,القاهرة
ORD-1049,2026-08-01 13:57:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1471,2026-08-30 17:44:00,جاكيت جلد رجالي,2,1500,600,المنيا
ORD-1428,2026-08-19 20:33:00,تيشرت قطن أبيض,3,350,150,الجيزة
ORD-1113,2026-08-22 14:36:00,تيشرت قطن أبيض,3,350,150,الإسكندرية
ORD-1140,2026-08-27 17:50:00,حذاء رياضي مريح,1,950,400,الإسكندرية
ORD-1373,2026-08-03 10:59:00,فستان صيفي مشجر,2,800,350,المنصورة
ORD-1226,2026-08-21 11:03:00,تيشرت قطن أبيض,2,350,150,المنيا
ORD-1261,2026-08-19 14:38:00,جاكيت جلد رجالي,1,1500,600,طنطا
ORD-1057,2026-08-21 19:16:00,بنطلون جينز أسود,1,600,250,القاهرة
ORD-1493,2026-08-10 16:26:00,فستان صيفي مشجر,1,800,350,القاهرة
ORD-1150,2026-08-06 22:13:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1149,2026-08-17 12:37:00,هودي شتوي رمادي,1,700,300,المنصورة
ORD-1343,2026-08-14 12:18:00,بنطلون جينز أسود,2,600,250,المنصورة
ORD-1055,2026-08-25 18:25:00,حذاء رياضي مريح,3,950,400,القاهرة
ORD-1400,2026-08-16 23:11:00,هودي شتوي رمادي,2,700,300,الإسكندرية
ORD-1142,2026-08-01 09:19:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1222,2026-08-20 14:54:00,فستان صيفي مشجر,3,800,350,طنطا
ORD-1460,2026-08-10 16:13:00,فستان صيفي مشجر,1,800,350,طنطا
ORD-1057,2026-08-06 20:06:00,هودي شتوي رمادي,1,700,300,القاهرة
ORD-1058,2026-08-04 17:46:00,هودي شتوي رمادي,3,700,300,الجيزة
ORD-1286,2026-08-05 19:00:00,جاكيت جلد رجالي,3,1500,600,الجيزة
ORD-1166,2026-08-06 16:07:00,هودي شتوي رمادي,3,700,300,المنيا
ORD-1324,2026-08-20 19:55:00,جاكيت جلد رجالي,2,1500,600,القاهرة
ORD-1394,2026-08-27 17:28:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1324,2026-08-06 11:21:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1311,2026-08-24 23:39:00,هودي شتوي رمادي,1,700,300,القاهرة
ORD-1084,2026-08-27 20:36:00,حذاء رياضي مريح,2,950,400,الإسكندرية
ORD-1477,2026-08-11 09:14:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1053,2026-08-06 19:01:00,بنطلون جينز أسود,3,600,250,الجيزة
ORD-1470,2026-08-01 09:02:00,قميص كاجوال كحلي,3,450,200,القاهرة
ORD-1435,2026-08-04 11:56:00,جاكيت جلد رجالي,2,1500,600,المنصورة
ORD-1136,2026-08-30 15:19:00,تيشرت قطن أبيض,3,350,150,المنصورة
ORD-1249,2026-08-30 10:13:00,بنطلون جينز أسود,2,600,250,طنطا
ORD-1066,2026-08-28 19:19:00,حذاء رياضي مريح,3,950,400,القاهرة
ORD-1171,2026-08-21 19:10:00,فستان صيفي مشجر,3,800,350,الجيزة
ORD-1019,2026-08-05 13:26:00,جاكيت جلد رجالي,2,1500,600,المنيا
ORD-1225,2026-08-21 17:29:00,جاكيت جلد رجالي,1,1500,600,الجيزة
ORD-1164,2026-08-17 19:11:00,حذاء رياضي مريح,3,950,400,القاهرة
ORD-1356,2026-08-13 14:32:00,هودي شتوي رمادي,2,700,300,الإسكندرية
ORD-1402,2026-08-10 14:10:00,حذاء رياضي مريح,2,950,400,الجيزة
ORD-1442,2026-08-15 13:02:00,قميص كاجوال كحلي,3,450,200,الإسكندرية
ORD-1325,2026-08-03 11:38:00,جاكيت جلد رجالي,1,1500,600,المنيا
ORD-1124,2026-08-23 12:54:00,سويت شيرت زيتي,3,500,220,القاهرة
ORD-1231,2026-08-10 21:00:00,بنطلون جينز أسود,3,600,250,القاهرة
ORD-1419,2026-08-15 20:59:00,جاكيت جلد رجالي,2,1500,600,طنطا
ORD-1250,2026-08-12 14:26:00,تيشرت قطن أبيض,1,350,150,القاهرة
ORD-1324,2026-08-26 22:19:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1419,2026-08-24 12:43:00,تيشرت قطن أبيض,3,350,150,الجيزة
ORD-1340,2026-08-19 17:44:00,فستان صيفي مشجر,2,800,350,المنيا
ORD-1277,2026-08-12 22:29:00,فستان صيفي مشجر,3,800,350,المنصورة
ORD-1099,2026-08-19 14:59:00,حذاء رياضي مريح,1,950,400,المنيا
ORD-1391,2026-08-10 12:46:00,جاكيت جلد رجالي,3,1500,600,القاهرة
ORD-1415,2026-08-13 19:43:00,فستان صيفي مشجر,1,800,350,الإسكندرية
ORD-1096,2026-08-10 17:24:00,فستان صيفي مشجر,1,800,350,الإسكندرية
ORD-1100,2026-08-06 22:47:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1203,2026-08-04 17:49:00,هودي شتوي رمادي,1,700,300,القاهرة
ORD-1238,2026-08-18 18:08:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1181,2026-08-23 09:07:00,هودي شتوي رمادي,3,700,300,المنيا
ORD-1228,2026-08-16 18:45:00,جاكيت جلد رجالي,3,1500,600,المنصورة
ORD-1362,2026-08-17 10:57:00,جاكيت جلد رجالي,1,1500,600,القاهرة
ORD-1050,2026-08-16 12:26:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1349,2026-08-13 23:09:00,تيشرت قطن أبيض,2,350,150,طنطا
ORD-1032,2026-08-13 11:25:00,تيشرت قطن أبيض,1,350,150,طنطا
ORD-1395,2026-08-17 23:49:00,حذاء رياضي مريح,2,950,400,المنصورة
ORD-1467,2026-08-29 09:27:00,تيشرت قطن أبيض,2,350,150,المنيا
ORD-1353,2026-08-17 12:17:00,بنطلون جينز أسود,1,600,250,المنيا
ORD-1489,2026-08-08 15:24:00,فستان صيفي مشجر,2,800,350,المنصورة
ORD-1337,2026-08-01 19:19:00,جاكيت جلد رجالي,2,1500,600,المنيا
ORD-1147,2026-08-23 18:24:00,جاكيت جلد رجالي,1,1500,600,الجيزة
ORD-1402,2026-08-22 10:09:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1029,2026-08-09 21:53:00,جاكيت جلد رجالي,2,1500,600,المنيا
ORD-1077,2026-08-24 12:16:00,قميص كاجوال كحلي,3,450,200,القاهرة
ORD-1443,2026-08-11 23:15:00,جاكيت جلد رجالي,3,1500,600,الإسكندرية
ORD-1407,2026-08-14 17:41:00,سويت شيرت زيتي,1,500,220,القاهرة
ORD-1174,2026-08-14 22:43:00,هودي شتوي رمادي,3,700,300,الإسكندرية
ORD-1145,2026-08-25 19:31:00,تيشرت قطن أبيض,2,350,150,الإسكندرية
ORD-1326,2026-08-19 23:35:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1087,2026-08-24 11:56:00,تيشرت قطن أبيض,2,350,150,المنصورة
ORD-1190,2026-08-12 19:20:00,حذاء رياضي مريح,2,950,400,الإسكندرية
ORD-1258,2026-08-06 19:30:00,سويت شيرت زيتي,3,500,220,المنيا
ORD-1330,2026-08-13 23:26:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1351,2026-08-03 18:17:00,هودي شتوي رمادي,2,700,300,الجيزة
ORD-1482,2026-08-13 09:01:00,حذاء رياضي مريح,1,950,400,الجيزة
ORD-1422,2026-08-01 20:38:00,تيشرت قطن أبيض,2,350,150,المنصورة
ORD-1212,2026-08-03 10:40:00,حذاء رياضي مريح,1,950,400,المنصورة
ORD-1014,2026-08-15 20:53:00,قميص كاجوال كحلي,3,450,200,القاهرة
ORD-1002,2026-08-02 20:26:00,بنطلون جينز أسود,3,600,250,الإسكندرية
ORD-1105,2026-08-10 23:18:00,حذاء رياضي مريح,1,950,400,المنصورة
ORD-1493,2026-08-05 17:47:00,جاكيت جلد رجالي,2,1500,600,المنصورة
ORD-1278,2026-08-28 23:58:00,بنطلون جينز أسود,3,600,250,المنصورة
ORD-1115,2026-08-11 19:54:00,سويت شيرت زيتي,2,500,220,المنيا
ORD-1230,2026-08-18 14:22:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1080,2026-08-12 10:30:00,تيشرت قطن أبيض,3,350,150,الإسكندرية
ORD-1377,2026-08-18 10:29:00,جاكيت جلد رجالي,3,1500,600,المنصورة
ORD-1010,2026-08-22 18:03:00,تيشرت قطن أبيض,1,350,150,القاهرة
ORD-1496,2026-08-14 15:52:00,جاكيت جلد رجالي,2,1500,600,القاهرة
ORD-1337,2026-08-13 17:54:00,فستان صيفي مشجر,1,800,350,المنيا
ORD-1048,2026-08-02 21:54:00,تيشرت قطن أبيض,2,350,150,الإسكندرية
ORD-1079,2026-08-24 21:55:00,بنطلون جينز أسود,1,600,250,الإسكندرية
ORD-1437,2026-08-20 22:30:00,قميص كاجوال كحلي,1,450,200,الإسكندرية
ORD-1393,2026-08-18 16:00:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1339,2026-08-09 10:08:00,قميص كاجوال كحلي,2,450,200,المنصورة
ORD-1346,2026-08-31 17:32:00,قميص كاجوال كحلي,1,450,200,المنصورة
ORD-1479,2026-08-24 09:58:00,فستان صيفي مشجر,2,800,350,المنيا
ORD-1184,2026-08-25 14:15:00,سويت شيرت زيتي,2,500,220,المنيا
ORD-1208,2026-08-21 20:05:00,قميص كاجوال كحلي,1,450,200,طنطا
ORD-1359,2026-08-09 16:13:00,فستان صيفي مشجر,3,800,350,القاهرة
ORD-1363,2026-08-08 16:20:00,فستان صيفي مشجر,3,800,350,المنيا
ORD-1309,2026-08-27 15:05:00,تيشرت قطن أبيض,1,350,150,الجيزة
ORD-1283,2026-08-27 13:42:00,حذاء رياضي مريح,1,950,400,طنطا
ORD-1475,2026-08-02 22:44:00,تيشرت قطن أبيض,3,350,150,المنصورة
ORD-1475,2026-08-21 16:29:00,فستان صيفي مشجر,2,800,350,المنيا
ORD-1115,2026-08-31 09:23:00,تيشرت قطن أبيض,2,350,150,المنصورة
ORD-1403,2026-08-22 16:52:00,فستان صيفي مشجر,1,800,350,طنطا
ORD-1419,2026-08-13 11:11:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1203,2026-08-20 17:19:00,بنطلون جينز أسود,1,600,250,القاهرة
ORD-1105,2026-08-25 14:24:00,قميص كاجوال كحلي,3,450,200,المنصورة
ORD-1246,2026-08-23 12:02:00,سويت شيرت زيتي,3,500,220,المنصورة
ORD-1413,2026-08-16 14:27:00,فستان صيفي مشجر,1,800,350,طنطا
ORD-1309,2026-08-17 19:59:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1358,2026-08-07 17:28:00,قميص كاجوال كحلي,3,450,200,المنصورة
ORD-1239,2026-08-28 10:50:00,تيشرت قطن أبيض,2,350,150,الإسكندرية
ORD-1484,2026-08-16 10:24:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1480,2026-08-26 16:27:00,سويت شيرت زيتي,2,500,220,طنطا
ORD-1494,2026-08-27 15:44:00,حذاء رياضي مريح,1,950,400,الإسكندرية
ORD-1156,2026-08-21 18:52:00,هودي شتوي رمادي,3,700,300,القاهرة
ORD-1364,2026-08-28 15:13:00,جاكيت جلد رجالي,3,1500,600,المنصورة
ORD-1011,2026-08-03 21:33:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1256,2026-08-25 09:29:00,جاكيت جلد رجالي,3,1500,600,القاهرة
ORD-1488,2026-08-08 22:12:00,بنطلون جينز أسود,1,600,250,المنيا
ORD-1474,2026-08-19 21:09:00,فستان صيفي مشجر,3,800,350,الجيزة
ORD-1399,2026-08-05 10:20:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1149,2026-08-08 17:58:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1248,2026-08-25 18:28:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1187,2026-08-23 17:30:00,جاكيت جلد رجالي,2,1500,600,الجيزة
ORD-1383,2026-08-05 20:49:00,حذاء رياضي مريح,1,950,400,المنصورة
ORD-1001,2026-08-16 17:02:00,هودي شتوي رمادي,2,700,300,القاهرة
ORD-1463,2026-08-23 11:51:00,سويت شيرت زيتي,1,500,220,طنطا
ORD-1301,2026-08-18 21:53:00,قميص كاجوال كحلي,3,450,200,الإسكندرية
ORD-1374,2026-08-21 20:44:00,هودي شتوي رمادي,1,700,300,الإسكندرية
ORD-1243,2026-08-18 13:23:00,قميص كاجوال كحلي,1,450,200,القاهرة
ORD-1230,2026-08-12 10:14:00,بنطلون جينز أسود,1,600,250,طنطا
ORD-1072,2026-08-08 22:10:00,هودي شتوي رمادي,3,700,300,طنطا
ORD-1113,2026-08-24 16:06:00,فستان صيفي مشجر,1,800,350,القاهرة
ORD-1126,2026-08-16 12:30:00,فستان صيفي مشجر,1,800,350,المنصورة
ORD-1361,2026-08-20 23:46:00,هودي شتوي رمادي,3,700,300,الإسكندرية
ORD-1264,2026-08-29 18:20:00,بنطلون جينز أسود,3,600,250,القاهرة
ORD-1331,2026-08-01 17:00:00,قميص كاجوال كحلي,2,450,200,المنصورة
ORD-1290,2026-08-30 09:43:00,حذاء رياضي مريح,3,950,400,طنطا
ORD-1126,2026-08-05 12:29:00,حذاء رياضي مريح,1,950,400,طنطا
ORD-1159,2026-08-16 20:38:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1178,2026-08-20 22:43:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1300,2026-08-12 22:02:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1263,2026-08-21 12:19:00,تيشرت قطن أبيض,1,350,150,الجيزة
ORD-1354,2026-08-04 10:26:00,بنطلون جينز أسود,1,600,250,المنيا
ORD-1179,2026-08-26 10:44:00,حذاء رياضي مريح,3,950,400,الجيزة
ORD-1332,2026-08-07 19:50:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1149,2026-08-27 18:15:00,حذاء رياضي مريح,2,950,400,القاهرة
ORD-1458,2026-08-15 13:11:00,بنطلون جينز أسود,3,600,250,المنصورة
ORD-1065,2026-08-25 18:31:00,جاكيت جلد رجالي,1,1500,600,المنيا
ORD-1418,2026-08-29 12:54:00,بنطلون جينز أسود,3,600,250,طنطا
ORD-1232,2026-08-11 19:51:00,بنطلون جينز أسود,2,600,250,طنطا
ORD-1329,2026-08-04 12:48:00,حذاء رياضي مريح,3,950,400,القاهرة
ORD-1152,2026-08-30 18:46:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1074,2026-08-11 16:28:00,سويت شيرت زيتي,2,500,220,الإسكندرية
ORD-1256,2026-08-11 13:56:00,هودي شتوي رمادي,3,700,300,القاهرة
ORD-1006,2026-08-25 22:02:00,هودي شتوي رمادي,3,700,300,الجيزة
ORD-1049,2026-08-10 13:03:00,قميص كاجوال كحلي,1,450,200,الإسكندرية
ORD-1109,2026-08-12 10:46:00,قميص كاجوال كحلي,1,450,200,طنطا
ORD-1372,2026-08-06 17:18:00,قميص كاجوال كحلي,3,450,200,المنصورة
ORD-1092,2026-08-19 16:01:00,حذاء رياضي مريح,1,950,400,طنطا
ORD-1117,2026-08-11 18:16:00,بنطلون جينز أسود,1,600,250,القاهرة
ORD-1342,2026-08-23 13:16:00,جاكيت جلد رجالي,2,1500,600,المنصورة
ORD-1321,2026-08-31 18:03:00,سويت شيرت زيتي,1,500,220,المنصورة
ORD-1275,2026-08-06 23:33:00,هودي شتوي رمادي,1,700,300,الإسكندرية
ORD-1227,2026-08-27 15:04:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1281,2026-08-01 20:43:00,قميص كاجوال كحلي,1,450,200,القاهرة
ORD-1140,2026-08-25 19:20:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1152,2026-08-24 21:49:00,سويت شيرت زيتي,3,500,220,الجيزة
ORD-1329,2026-08-09 20:28:00,هودي شتوي رمادي,3,700,300,القاهرة
ORD-1161,2026-08-19 09:13:00,فستان صيفي مشجر,2,800,350,الإسكندرية
ORD-1263,2026-08-17 21:04:00,حذاء رياضي مريح,2,950,400,طنطا
ORD-1485,2026-08-08 21:07:00,هودي شتوي رمادي,2,700,300,المنيا
ORD-1183,2026-08-21 23:22:00,بنطلون جينز أسود,3,600,250,طنطا
ORD-1188,2026-08-19 13:23:00,تيشرت قطن أبيض,1,350,150,الجيزة
ORD-1368,2026-08-01 12:16:00,قميص كاجوال كحلي,2,450,200,المنصورة
ORD-1205,2026-08-19 13:26:00,بنطلون جينز أسود,2,600,250,الإسكندرية
ORD-1221,2026-08-11 15:12:00,بنطلون جينز أسود,1,600,250,الجيزة
ORD-1228,2026-08-26 11:01:00,هودي شتوي رمادي,1,700,300,المنيا
ORD-1331,2026-08-14 15:08:00,بنطلون جينز أسود,2,600,250,القاهرة
ORD-1097,2026-08-13 12:58:00,بنطلون جينز أسود,2,600,250,القاهرة
ORD-1159,2026-08-25 09:17:00,فستان صيفي مشجر,1,800,350,طنطا
ORD-1195,2026-08-28 19:35:00,قميص كاجوال كحلي,3,450,200,الإسكندرية
ORD-1056,2026-08-19 11:47:00,تيشرت قطن أبيض,3,350,150,المنصورة
ORD-1451,2026-08-10 14:27:00,فستان صيفي مشجر,1,800,350,الجيزة
ORD-1458,2026-08-31 13:51:00,سويت شيرت زيتي,1,500,220,المنصورة
ORD-1043,2026-08-12 16:32:00,هودي شتوي رمادي,2,700,300,طنطا
ORD-1173,2026-08-30 15:23:00,تيشرت قطن أبيض,3,350,150,المنيا
ORD-1017,2026-08-30 22:13:00,قميص كاجوال كحلي,1,450,200,الجيزة
ORD-1351,2026-08-23 22:29:00,تيشرت قطن أبيض,2,350,150,الجيزة
ORD-1027,2026-08-31 19:54:00,فستان صيفي مشجر,2,800,350,الإسكندرية
ORD-1265,2026-08-14 21:40:00,بنطلون جينز أسود,2,600,250,طنطا
ORD-1371,2026-08-18 23:06:00,سويت شيرت زيتي,3,500,220,المنصورة
ORD-1060,2026-08-17 11:50:00,فستان صيفي مشجر,3,800,350,المنيا
ORD-1255,2026-08-26 21:25:00,سويت شيرت زيتي,2,500,220,طنطا
ORD-1320,2026-08-27 17:18:00,سويت شيرت زيتي,2,500,220,الجيزة
ORD-1114,2026-08-10 21:55:00,قميص كاجوال كحلي,3,450,200,المنصورة
ORD-1036,2026-08-13 19:59:00,تيشرت قطن أبيض,2,350,150,المنصورة
ORD-1310,2026-08-17 20:09:00,تيشرت قطن أبيض,1,350,150,القاهرة
ORD-1148,2026-08-21 23:26:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1358,2026-08-24 14:58:00,قميص كاجوال كحلي,2,450,200,القاهرة
ORD-1405,2026-08-08 18:56:00,قميص كاجوال كحلي,1,450,200,الإسكندرية
ORD-1176,2026-08-26 14:17:00,هودي شتوي رمادي,3,700,300,الإسكندرية
ORD-1466,2026-08-17 19:15:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1008,2026-08-29 14:55:00,فستان صيفي مشجر,3,800,350,المنيا
ORD-1456,2026-08-13 18:47:00,تيشرت قطن أبيض,3,350,150,المنيا
ORD-1196,2026-08-16 18:47:00,بنطلون جينز أسود,2,600,250,المنصورة
ORD-1188,2026-08-15 21:13:00,فستان صيفي مشجر,2,800,350,المنيا
ORD-1271,2026-08-20 11:18:00,هودي شتوي رمادي,1,700,300,المنيا
ORD-1139,2026-08-21 23:24:00,بنطلون جينز أسود,1,600,250,الجيزة
ORD-1221,2026-08-23 23:30:00,سويت شيرت زيتي,1,500,220,الجيزة
ORD-1029,2026-08-26 11:53:00,حذاء رياضي مريح,3,950,400,الجيزة
ORD-1159,2026-08-09 20:38:00,تيشرت قطن أبيض,3,350,150,الإسكندرية
ORD-1307,2026-08-15 18:42:00,تيشرت قطن أبيض,1,350,150,القاهرة
ORD-1480,2026-08-22 16:41:00,جاكيت جلد رجالي,1,1500,600,المنيا
ORD-1174,2026-08-19 12:44:00,حذاء رياضي مريح,2,950,400,طنطا
ORD-1361,2026-08-15 15:33:00,فستان صيفي مشجر,1,800,350,المنصورة
ORD-1128,2026-08-15 19:47:00,حذاء رياضي مريح,1,950,400,المنيا
ORD-1257,2026-08-14 22:23:00,تيشرت قطن أبيض,3,350,150,القاهرة
ORD-1221,2026-08-16 17:55:00,فستان صيفي مشجر,1,800,350,الجيزة
ORD-1391,2026-08-23 14:04:00,هودي شتوي رمادي,3,700,300,القاهرة
ORD-1183,2026-08-06 18:50:00,قميص كاجوال كحلي,2,450,200,المنصورة
ORD-1341,2026-08-14 15:13:00,تيشرت قطن أبيض,1,350,150,طنطا
ORD-1235,2026-08-04 14:25:00,حذاء رياضي مريح,3,950,400,الإسكندرية
ORD-1300,2026-08-17 15:30:00,سويت شيرت زيتي,1,500,220,الجيزة
ORD-1244,2026-08-04 21:30:00,هودي شتوي رمادي,2,700,300,الجيزة
ORD-1311,2026-08-06 23:50:00,قميص كاجوال كحلي,1,450,200,الإسكندرية
ORD-1163,2026-08-11 17:45:00,قميص كاجوال كحلي,1,450,200,المنصورة
ORD-1214,2026-08-21 18:00:00,فستان صيفي مشجر,3,800,350,المنصورة
ORD-1204,2026-08-09 22:54:00,سويت شيرت زيتي,3,500,220,المنيا
ORD-1454,2026-08-23 13:31:00,جاكيت جلد رجالي,3,1500,600,الإسكندرية
ORD-1105,2026-08-20 23:13:00,بنطلون جينز أسود,1,600,250,الجيزة
ORD-1102,2026-08-18 20:37:00,قميص كاجوال كحلي,3,450,200,المنيا
ORD-1015,2026-08-31 10:31:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1431,2026-08-17 20:17:00,جاكيت جلد رجالي,2,1500,600,المنصورة
ORD-1463,2026-08-27 19:29:00,هودي شتوي رمادي,3,700,300,المنصورة
ORD-1361,2026-08-05 11:38:00,سويت شيرت زيتي,2,500,220,الإسكندرية
ORD-1367,2026-08-08 16:30:00,فستان صيفي مشجر,3,800,350,القاهرة
ORD-1381,2026-08-19 11:50:00,جاكيت جلد رجالي,2,1500,600,الجيزة
ORD-1204,2026-08-07 20:15:00,فستان صيفي مشجر,2,800,350,طنطا
ORD-1367,2026-08-24 14:15:00,هودي شتوي رمادي,1,700,300,المنصورة
ORD-1446,2026-08-22 12:45:00,بنطلون جينز أسود,2,600,250,المنيا
ORD-1477,2026-08-29 21:26:00,تيشرت قطن أبيض,1,350,150,طنطا
ORD-1192,2026-08-07 12:47:00,بنطلون جينز أسود,1,600,250,الجيزة
ORD-1243,2026-08-28 11:19:00,فستان صيفي مشجر,3,800,350,المنصورة
ORD-1235,2026-08-05 21:25:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1246,2026-08-30 23:51:00,حذاء رياضي مريح,3,950,400,القاهرة
ORD-1030,2026-08-05 21:00:00,هودي شتوي رمادي,3,700,300,طنطا
ORD-1204,2026-08-13 21:04:00,هودي شتوي رمادي,2,700,300,المنيا
ORD-1128,2026-08-02 19:59:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1448,2026-08-18 12:18:00,تيشرت قطن أبيض,1,350,150,الإسكندرية
ORD-1485,2026-08-21 18:58:00,حذاء رياضي مريح,3,950,400,المنيا
ORD-1155,2026-08-18 21:55:00,فستان صيفي مشجر,1,800,350,الإسكندرية
ORD-1207,2026-08-04 10:18:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1111,2026-08-01 14:47:00,فستان صيفي مشجر,3,800,350,طنطا
ORD-1190,2026-08-08 17:39:00,قميص كاجوال كحلي,1,450,200,طنطا
ORD-1225,2026-08-25 13:28:00,قميص كاجوال كحلي,2,450,200,الإسكندرية
